Date,Open,High,Low,Close,Volume,Market Cap
2021-06-01,0.7666,0.7739,0.7264,0.7475,222070816,1118219146
2021-05-31,0.7046,0.7667,0.6746,0.7667,212025920,1146926457
2021-05-30,0.6834,0.7384,0.6463,0.7049,208866040,1054519984
2021-05-29,0.7486,0.7868,0.6506,0.6836,258117244,1022658292
2021-05-28,0.8443,0.8544,0.71,0.7478,326315733,1118754764
2021-05-27,0.8886,0.9288,0.7977,0.8426,339188622,1260453996
2021-05-26,0.7378,0.8874,0.7359,0.8874,297763922,1327466658
2021-05-25,0.7263,0.7701,0.6659,0.7376,266387451,1103478165
2021-05-24,0.5599,0.7433,0.5527,0.7249,285868019,1084378482
2021-05-23,0.6833,0.7082,0.4553,0.5626,329872367,841656307
2021-05-22,0.76,0.7659,0.6631,0.6826,291103834,1021160116
2021-05-21,0.8772,0.9189,0.6644,0.7604,361403858,1137436746
2021-05-20,0.755,0.9154,0.68,0.8776,372185755,1312756633
2021-05-19,1.11,1.12,0.5694,0.7616,579473040,1139281916
2021-05-18,1.06,1.14,1.06,1.11,355358885,1655625773
2021-05-17,1.14,1.14,1.03,1.06,407141277,1590023410
2021-05-16,1.14,1.24,1.09,1.14,326374144,1706600608
2021-05-15,1.22,1.23,1.14,1.14,584558659,1702831348
2021-05-14,1.19,1.25,1.19,1.22,443952069,1823221434
2021-05-13,1.19,1.25,1.12,1.19,566015006,1783190514
2021-05-12,1.4,1.42,1.18,1.18,521257242,1762303973
2021-05-11,1.31,1.39,1.26,1.39,477473046,2080688790
2021-05-10,1.41,1.49,1.27,1.32,550366837,1963564612
2021-05-09,1.42,1.46,1.34,1.41,516511095,2111265059
2021-05-08,1.41,1.51,1.38,1.42,449065509,2118004499
2021-05-07,1.4,1.59,1.35,1.41,686911611,2101831701
2021-05-06,1.36,1.44,1.33,1.4,610445175,2090762135
2021-05-05,1.17,1.37,1.16,1.37,515136998,2039524432
2021-05-04,1.29,1.29,1.15,1.17,534774943,1749361154
2021-05-03,1.26,1.32,1.25,1.29,407067748,1929131199
2021-05-02,1.27,1.3,1.23,1.26,377287097,1875792106
2021-05-01,1.26,1.3,1.23,1.27,462928862,1896813791
2021-04-30,1.19,1.28,1.17,1.26,379129820,1885681602
2021-04-29,1.2,1.23,1.16,1.19,378870829,1774708240
2021-04-28,1.26,1.3,1.17,1.2,462937826,1790542493
2021-04-27,1.19,1.27,1.18,1.26,533460575,1874957337
2021-04-26,1.02,1.2,1.02,1.2,525764481,1785216774
2021-04-25,1.03,1.17,0.9719,1.02,506242541,1525377237
2021-04-24,1.19,1.19,1.03,1.03,491551822,1540660448
2021-04-23,1.1,1.19,0.8768,1.18,785645045,1768893757
2021-04-22,1.23,1.26,1.09,1.1,710176568,1645771888
2021-04-21,1.27,1.32,1.22,1.23,712585127,1836077394
