Date,Elon Tweet?
2021-06-01,no
2021-05-31,no
2021-05-30,no
2021-05-29,no
2021-05-28,no
2021-05-27,no
2021-05-26,no
2021-05-25,no
2021-05-24,yes
2021-05-23,no
2021-05-22,no
2021-05-21,no
2021-05-20,yes
2021-05-19,yes
2021-05-18,no
2021-05-17,no
2021-05-16,no
2021-05-15,no
2021-05-14,no
2021-05-13,yes
2021-05-12,yes
2021-05-11,yes
2021-05-10,no
2021-05-09,yes
2021-05-08,no
2021-05-07,no
2021-05-06,yes
2021-05-05,no
2021-05-04,no
2021-05-03,no
2021-05-02,no
2021-05-01,no
2021-04-30,no
2021-04-29,no
2021-04-28,no
2021-04-27,yes
2021-04-26,no
2021-04-25,no
2021-04-24,yes
2021-04-23,no
2021-04-22,no
2021-04-21,no
2021-04-20,no
2021-04-19,no
2021-04-18,no
2021-04-17,no
2021-04-16,no
2021-04-15,no
2021-04-14,yes
2021-04-13,no
2021-04-12,no
2021-04-11,no
2021-04-10,no
2021-04-09,no
2021-04-08,no
2021-04-07,no
2021-04-06,no
2021-04-05,no
2021-04-04,no
2021-04-03,no
2021-04-02,no
2021-04-01,yes
2021-03-31,no
2021-03-30,no
2021-03-29,no
2021-03-28,no
2021-03-27,no
2021-03-26,no
2021-03-25,no
2021-03-24,yes
2021-03-23,no
2021-03-22,no
2021-03-21,no
2021-03-20,no
2021-03-19,no
2021-03-18,yes
2021-03-17,no
2021-03-16,no
2021-03-15,yes
2021-03-14,no
2021-03-13,yes
2021-03-12,yes
2021-03-11,no
2021-03-10,no
2021-03-09,no
2021-03-08,no
2021-03-07,no
2021-03-06,no
2021-03-05,yes
2021-03-04,no
2021-03-03,no
2021-03-02,yes
2021-03-01,yes
2021-02-28,no
2021-02-27,no
2021-02-26,no
2021-02-25,no
2021-02-24,no
2021-02-23,no
2021-02-22,no
2021-02-21,yes
2021-02-20,yes
2021-02-19,no
2021-02-18,no
2021-02-17,no
2021-02-16,no
2021-02-15,no
2021-02-14,yes
2021-02-13,no
2021-02-12,no
2021-02-11,yes
2021-02-10,yes
2021-02-09,yes
2021-02-08,no
2021-02-07,yes
2021-02-06,yes
2021-02-05,yes
2021-02-04,yes
2021-02-03,yes
2021-02-02,no
2021-02-01,no
2021-01-31,no
2021-01-30,no
2021-01-29,no
2021-01-28,no
2021-01-27,no
2021-01-26,no
2021-01-25,no
2021-01-24,no
2021-01-23,no
2021-01-22,no
2021-01-21,no
2021-01-20,no
2021-01-19,no
2021-01-18,no
2021-01-17,no
2021-01-16,no
2021-01-15,no
2021-01-14,no
2021-01-13,no
2021-01-12,no
2021-01-11,no
2021-01-10,no
2021-01-09,no
2021-01-08,no
2021-01-07,no
2021-01-06,no
2021-01-05,no
2021-01-04,no
2021-01-03,no
2021-01-02,no
2021-01-01,no
2020-12-31,no
2020-12-30,no
2020-12-29,no
2020-12-28,no
2020-12-27,no
2020-12-26,no
2020-12-25,yes
2020-12-24,no
2020-12-23,no
2020-12-22,no
